"address","status","description"
"10.9.102.1/22","active","STJO001_7250"
"10.9.102.2/22","active","STJO002_7250"
"10.9.102.3/22","active","STJO001_7705"
"10.9.102.4/22","active","STJO002_7705"
"10.9.102.5/22","active","KEEL001_7250"
"10.9.102.6/22","active","KEEL002_7250"
"10.9.102.7/22","active","KEEL001_7705"
"10.9.102.8/22","active","KEEL002_7705"
"10.9.102.9/22","active","PERL001_7250"
"10.9.102.10/22","active","PERL002_7250"
"10.9.102.11/22","active","PERL001_7705"
"10.9.102.12/22","active","PERL002_7705"
"10.9.102.13/22","active","PERL003_7705"
"10.9.102.14/22","active","MCLO001_7250"
"10.9.102.15/22","active","MCLO002_7250"
"10.9.102.16/22","active","MCLO001_7705"
"10.9.102.17/22","active","MCLO002_7705"
"10.9.102.18/22","active","OSTD001_7250"
"10.9.102.19/22","active","OSTD002_7250"
"10.9.102.20/22","active","OSTD001_7705"
"10.9.102.21/22","active","OSTD002_7705"
"10.9.102.22/22","active","OSTD003_7705"
"10.9.102.23/22","active","CHEM001_7250"
"10.9.102.24/22","active","CHEM002_7250"
"10.9.102.25/22","active","CHEM001_7705"
"10.9.102.26/22","active","CHEM002_7705"
"10.9.102.27/22","active","CHEM003_7705"
"10.9.102.28/22","active","PROH001_7705"
"10.9.102.29/22","active","PROH002_7705"
"10.9.102.30/22","active","MARN001_7250"
"10.9.102.31/22","active","MARN002_7250"
"10.9.102.32/22","active","MARN001_7705"
"10.9.102.33/22","active","MARN002_7705"
"10.9.102.34/22","active","MARN003_7705"
"10.9.102.35/22","active","SALE001_7250"
"10.9.102.36/22","active","SALE002_7250"
"10.9.102.37/22","active","SALE001_7705"
"10.9.102.38/22","active","SALE002_7705"
"10.9.102.40/22","active","ALBA001_7250"
"10.9.102.41/22","active","ALBA002_7250"
"10.9.102.42/22","active","ALBA001_7705"
"10.9.102.43/22","active","ALBA002_7705"
"10.9.102.44/22","active","EUGE001_7250"
"10.9.102.45/22","active","EUGE002_7250"
"10.9.102.46/22","active","EUGE001_7705"
"10.9.102.47/22","active","EUGE002_7705"
"10.9.102.48/22","active","LANE001_7250"
"10.9.102.49/22","active","LANE002_7250"
"10.9.102.50/22","active","LANE001_7705"
"10.9.102.51/22","active","LANE002_7705"
"10.9.102.52/22","active","LANE003_7705"
"10.9.102.53/22","active","WEND001_7250"
"10.9.102.54/22","active","WEND002_7250"
"10.9.102.55/22","active","WEND001_7705"
"10.9.102.56/22","active","WEND002_7705"
"10.9.102.57/22","active","TAHK001_7250"
"10.9.102.58/22","active","TAHK002_7250"
"10.9.102.59/22","active","TAHK001_7705"
"10.9.102.60/22","active","TAHK002_7705"
"10.9.102.61/22","active","REED001_7250"
"10.9.102.62/22","active","REED002_7250"
"10.9.102.63/22","active","REED001_7705"
"10.9.102.64/22","active","REED002_7705"
