category,part_no,description,p3_qty,p3_extras,p3_total,spare,grand_total,site_ALBA,site_ALVF,site_ALVY,site_BAND,site_BENT,site_BKLY,site_BUCK,site_CAPP,site_CHEM,site_COWL,site_CPJK,site_EUGE,site_FAMT,site_FAVW,site_FORT,site_GMRS,site_GRIZ,site_HAPY,site_KEEL,site_LANE,site_LAPI,site_LNHR,site_MALN,site_MARN,site_MCLO,site_MNCR,site_MOPN,site_NBMO,site_OSTD,site_PERL,site_POAN,site_PROH,site_RDMD,site_REED,site_REST,site_SALE,site_SANT,site_SHEL,site_SOMW,site_STJO,site_SUML,site_SYCN,site_TAHK,site_WEND,site_WKMZ,extras_ALBA,extras_ALVF,extras_ALVY,extras_BAND,extras_BENT,extras_BKLY,extras_BUCK,extras_CAPP,extras_CHEM,extras_COWL,extras_CPJK,extras_EUGE,extras_FAMT,extras_FAVW,extras_FORT,extras_GMRS,extras_GRIZ,extras_HAPY,extras_KEEL,extras_LANE,extras_LAPI,extras_LNHR,extras_MALN,extras_MARN,extras_MCLO,extras_MNCR,extras_MOPN,extras_NBMO,extras_OSTD,extras_PERL,extras_POAN,extras_PROH,extras_RDMD,extras_REED,extras_REST,extras_SALE,extras_SANT,extras_SHEL,extras_SOMW,extras_STJO,extras_SUML,extras_SYCN,extras_TAHK,extras_WEND,extras_WKMZ
Chassis/Shelf,3HE06792EA,Fan Module (SAR-8 Shelf V2) Ext Temp,113,0,113,8,125,2,3,4,2,2,2,2,2,3,2,4,2,2,3,2,2,4,2,3,3,3,2,5,3,2,2,2,2,3,3,2,2,4,2,2,2,3,3,2,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chassis/Shelf,3HE06791AA,SAR-8 SHELF V2,113,0,113,3,120,2,3,4,2,2,2,2,2,3,2,4,2,2,3,2,2,4,2,3,3,3,2,5,3,2,2,2,2,3,3,2,2,4,2,2,2,3,3,2,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chassis/Shelf,3HE11278AA,7250 IXR-R6 CHASSIS,57,0,57,2,60,2,0,2,0,2,2,0,0,2,0,2,2,0,2,2,0,2,0,2,2,2,0,2,2,2,2,2,0,2,2,0,0,2,2,2,2,0,0,0,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chassis/Shelf,3HE11279AA,7250 IXR-R6 FAN TRAY,56,0,56,3,60,2,0,2,0,2,2,0,0,2,0,2,2,0,2,2,0,2,0,2,2,2,0,2,2,2,2,2,0,2,2,0,0,2,2,2,2,0,0,0,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chassis/Shelf,3KC48830AA,"PSS8-8SP- SHELF PNL,TEMP-HARDEN",6,0,6,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chassis/Shelf,3KC48850AA,"PSS8-8FAN-FAN UNIT,TEMP-HARDENED",6,0,6,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chassis/Shelf,3KC48901AA,"PSS8 SHELF-(INCLUDING PSS8SHF,SHELF PNL)",6,0,6,0,6,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chassis/Shelf,1AD1519300,FIBER STORAGE TRAY (2U),1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chassis/Shelf,8DG59417AA,KIT-DCM SHELF KIT (19 INCH EIA),1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cards,3HE07943AA,2P 10GE+4P GE 10G ETH CARD (-48/+24VDC),230,4,234,15,253,4,6,8,4,4,4,4,4,6,4,8,4,4,6,4,4,8,4,8,8,6,4,10,6,4,4,4,4,6,6,4,4,8,4,4,4,6,6,4,4,6,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
