line,visio_id,type,bandwidth,optic,strands,A_TID,A_Site,A_Slot,A_Port,Z_TID,Z_Site,Z_Slot,Z_Port,A_P3,Z_P3,is_self_loop,cable_length
1,12150,green-100G,,100G QSFP28,1,ALBA002_7250,ALBA,1/2,7,ALBA002_7250,ALBA,1/2,7,True,True,True,
2,12145,red-100G,,100G QSFP28,1,ALBA001_7250,ALBA,1/1,7,ALBA001_7250,ALBA,1/1,7,True,True,True,
3,11059,red-100G,,100G QSFP28,1,ALBA001_7250,ALBA,1/2,7,SALE001_7250,SALE,1/5,7,True,True,False,
4,12146,red-100G,,100G QSFP28,1,ALBA001_7250,ALBA,1/2,7,ALBA001_7250,ALBA,1/2,7,True,True,True,
5,11468,blue-10G,20G,2x SFP+ 10G LR,2,ALVF001_7705,ALVF,1/1,6,ALVF002_7705,ALVF,1/1,6,True,True,False,
6,11469,blue-10G,20G,2x SFP+ 10G LR,2,ALVF001_7705,ALVF,1/2,6,ALVF002_7705,ALVF,1/2,6,True,True,False,
7,11466,green-10G,20G,2x SFP+ 10G LR,2,ALVF002_7705,ALVF,1/4,2,ALVF002_7705,ALVF,1/4,1,True,True,False,
8,33180,green-10G,,SFP+ 10G LR,1,ALVF002_7705,ALVF,1/4,2,ALVF002_7705,ALVF,1/4,2,True,True,True,
9,11465,green-OC3,,OC3 SFP,1,ALVF001_7705,ALVF,1/4,1,ALVF001_7705,ALVF,1/4,1,True,True,True,
10,23078,green-OC3,,OC3 SFP,1,ALVF001_7705,ALVF,1/4,1,ALVF002_7705,ALVF,1/4,2,True,True,False,
11,14246,red-OC3,,OC3 SFP,1,ALVF001_7705,ALVF,1/4,1,ALVF001_7705,ALVF,1/4,1,True,True,True,
12,11373,green-100G,200G,2x 100G QSFP28,2,ALVY002_7250,ALVY,1/1,7,ALVY002_7250,ALVY,1/1,7,True,True,True,
13,11374,green-100G,200G,2x 100G QSFP28,2,ALVY002_7250,ALVY,1/5,7,ALVY002_7250,ALVY,1/5,7,True,True,True,
14,11473,green-10G,,SFP+ 10G LR,1,ALVY002_7250,ALVY,1/1,3,ALVF002_7705,ALVF,1/1,5,True,True,False,
15,11354,red-100G,200G,2x 100G QSFP28,2,ALVY001_7250,ALVY,1/1,7,ALVY001_7250,ALVY,1/1,7,True,True,True,
16,11355,red-100G,200G,2x 100G QSFP28,2,ALVY001_7250,ALVY,1/2,7,ALVY001_7250,ALVY,1/2,7,True,True,True,
17,11150,red-10G,20G,2x SFP+ 10G LR,2,ALVY002_7705,ALVY,1/2,6,ALVY001_7250,ALVY,1/2,2,True,True,False,
18,13772,blue-10G,20G,2x SFP+ 10G LR,2,BAND001_7705,BAND,1/1,6,BAND002_7705,BAND,1/1,6,True,True,False,
19,11343,blue-10G,20G,2x SFP+ 10G LR,2,BAND001_7705,BAND,1/2,6,BAND002_7705,BAND,1/2,6,True,True,False,
20,11344,green-10G,20G,2x SFP+ 10G LR,2,BAND002_7705,BAND,1/1,5,BAND002_7705,BAND,1/1,5,False,True,True,
21,13118,green-100G,,100G QSFP28,1,BENT002_7250,BENT,1/1,7,ASHE002_7250,ASHE,1/1,7,True,False,False,
22,10721,green-100G,,100G QSFP28,1,BKLY002_7250,BKLY,1/1,7,BKLY002_7250,BKLY,1/1,7,True,False,True,
23,10720,green-100G,,100G QSFP28,1,BKLY002_7250,BKLY,1/2,7,BKLY002_7250,BKLY,1/2,7,True,False,True,
24,10719,red-100G,,100G QSFP28,1,BKLY001_7250,BKLY,1/1,7,BKLY001_7250,BKLY,1/1,7,True,False,True,
25,10718,red-100G,,100G QSFP28,1,BKLY001_7250,BKLY,1/2,7,BKLY001_7250,BKLY,1/2,7,True,False,True,
26,33009,red-10G,20G,2x SFP+ 10G LR,2,7705,BUCK,1/2,6,7705,BUCK,1/2,6,True,True,True,
27,33010,red-OC3,,OC3 SFP,1,7705,BUCK,1/1,6,7705,BUCK,1/1,6,True,True,True,
28,33008,red-OC3,,OC3 SFP,1,7705,BUCK,1/2,6,7705,BUCK,1/2,6,True,True,True,
29,33281,blue-10G,,SFP+ 10G LR,1,CAPP002_7705,CAPP,1/1,6,CAPP002_7705,CAPP,1/1,6,True,True,True,
30,33272,blue-10G,,SFP+ 10G LR,1,CAPP001_7705,CAPP,1/2,6,CAPP001_7705,CAPP,1/2,6,True,True,True,
31,10641,blue-OC3,,OC3 SFP,1,CAPP002_7705,CAPP,1/1,6,CAPP002_7705,CAPP,1/1,6,True,True,True,
32,10642,blue-OC3,,OC3 SFP,1,CAPP001_7705,CAPP,1/2,6,CAPP001_7705,CAPP,1/2,6,True,True,True,
33,12257,green-100G,200G,2x 100G QSFP28,2,CHEM002_7250,CHEM,1/1,7,SALE002_7250,SALE,1/2,7,True,True,False,
