line_type,bandwidth,site_a,device_a,port_a,site_b,device_b,port_b,p3_a,p3_b,conn_id
green-10G,20G,PERL,7705  001,1/1/6,PERL,7250  002,1/1/1,True,True,9293
green-10G,20G,MCLO,7705  001,1/1/6,MCLO,7250  002,1/1/1,True,True,9317
blue-OC3,,SOMW,7705  001,1/2/6,SOMW,7705  001,1/2/6,True,True,10640
blue-OC3,,CAPP,7705  002,1/1/6,CAPP,7705  002,1/1/6,True,True,10641
blue-OC3,,CAPP,7705  001,1/2/6,CAPP,7705  001,1/2/6,True,True,10642
red-100G,,BKLY,7250  001,1/2/7,?,7250  001,1/2/7,True,False,10718
red-100G,,BKLY,7250  001,1/1/7,?,7250  001,1/1/7,True,False,10719
green-100G,,BKLY,7250  002,1/2/7,?,7250  002,1/2/7,True,False,10720
green-100G,,BKLY,7250  002,1/1/7,?,7250  002,1/1/7,True,False,10721
red-10G,20G,MARN,7705  002,1/2/6,MARN,7250  001,1/2/2,True,True,10787
red-100G,,RDMD,7250  001,1/1/7,?,7250  001,1/1/7,True,False,10839
red-100G,,RDMD,7250  001,1/2/7,?,7250  001,1/2/7,True,False,10840
green-100G,,RDMD,7250  002,1/1/7,?,7250  002,1/1/7,True,False,10842
green-100G,,RDMD,7250  002,1/2/7,?,7250  002,1/2/7,True,False,10843
red-100G,200G,?,7250  001,1/2/7,LAPI,7250  001,1/2/7,False,True,10872
red-100G,200G,?,7250  001,1/1/7,LAPI,7250  001,1/1/7,False,True,10873
green-100G,200G,LAPI,7250  002,1/1/7,?,7250  002,1/1/7,True,False,10882
green-100G,200G,LAPI,7250  002,1/2/7,?,7250  002,1/2/7,True,False,10883
red-100G,,FORT,7250  001,1/1/7,?,7250  001,1/1/7,True,False,10914
red-100G,,FORT,7250  001,1/2/7,?,7250  001,1/2/7,True,False,10915
green-100G,,FORT,7250  002,1/1/7,?,7250  002,1/1/7,True,False,10916
green-100G,,FORT,7250  002,1/2/7,?,7250  002,1/2/7,True,False,10917
red-100G,200G,SUML,7250  001,1/1/7,?,7250  001,1/1/7,True,False,10957
green-100G,200G,SUML,7250  002,1/1/7,?,7705  002,1/1/7,True,False,10958
blue-10G,20G,SANT,7705  002,1/1/6,SANT,7705  001,1/1/6,True,True,11025
green-10G,20G,SANT,7705  002,1/1/5,?,7250  002,?,True,False,11026
green-10G,,PROH,7705  002,?,PROH,7705  002,1/2/6,True,True,11038
blue-10G,,PROH,7705  002,?,?,7705  001,?,True,False,11042
green-10G,20G,MARN,7705  002,?,MARN,7705  002,1/1/5,True,True,11045
blue-10G,,PROH,7705  001,?,?,7705  001,?,True,False,11050
red-10G,20G,WEND,7705  002,1/2/6,WEND,7250  001,1/2/2,True,True,11084
green-100G,,WEND,7250  002,1/2/7,?,7250  002,1/2/7,True,False,11097
red-10G,20G,LANE,7705  002,1/2/6,LANE,7250  001,1/2/2,True,True,11120
red-10G,20G,ALVY,7705  002,1/2/6,ALVY,7250  001,1/2/2,True,True,11150
red-10G,20G,MNCR,7705  002,1/2/6,MNCR,7250  001,1/2/2,True,True,11184
red-10G,20G,REST,7705  002,1/2/6,REST,7250  001,1/2/2,True,True,11214
red-10G,20G,FAVW,7705  002,1/2/6,FAVW,7250  001,1/2/2,True,True,11244
green-100G,,?,7250  002,1/1/7,REED,7250  002,1/1/7,False,True,11289
green-100G,,?,7250  002,1/2/7,REED,7250  002,1/2/7,False,True,11290
red-100G,,?,7250  001,1/1/7,REED,7250  001,1/1/7,False,True,11291
red-100G,,?,7250  001,1/2/7,REED,7250  001,1/2/7,False,True,11292
red-10G,20G,TAHK,7705  002,1/2/6,TAHK,7250  001,1/2/2,True,True,11311
blue-10G,20G,BAND,7705  001,1/2/6,BAND,7705  002,1/2/6,True,True,11343
green-10G,20G,?,7705  002,1/1/5,BAND,7705  002,1/1/5,False,True,11344
red-100G,,LANE,7250  001,1/1/7,?,7250  001,1/1/7,True,False,11346
red-100G,,LANE,7250  001,1/2/7,?,7250  001,1/2/7,True,False,11347
green-100G,,LANE,7250  002,1/1/7,?,7250  002,1/1/7,True,False,11350
green-100G,,LANE,7250  002,1/2/7,?,7250  002,1/2/7,True,False,11351
red-100G,200G,ALVY,7250  001,1/1/7,?,7250  001,1/1/7,True,False,11354
red-100G,200G,ALVY,7250  001,1/2/7,?,7250  001,1/2/7,True,False,11355
red-100G,,MNCR,7250  001,1/1/7,?,7250  001,1/1/7,True,False,11356
red-100G,,MNCR,7250  001,1/2/7,?,7250  001,1/2/7,True,False,11357
red-100G,,REST,7250  001,1/1/7,?,7250  001,1/1/7,True,False,11358
red-100G,,REST,7250  001,1/2/7,?,7250  001,1/2/7,True,False,11359
red-100G,200G,FAVW,7250  001,1/1/7,?,7250  001,1/1/7,True,False,11360
red-100G,200G,FAVW,7250  001,1/2/7,?,7250  001,1/2/7,True,False,11361
red-100G,,TAHK,7250  001,1/2/7,?,7250  001,1/2/7,True,False,11369
red-100G,,TAHK,7250  001,1/1/7,?,7250  001,1/1/7,True,False,11370
green-100G,200G,ALVY,7250  002,1/1/7,?,7250  002,1/1/7,True,False,11373
green-100G,200G,ALVY,7250  002,1/5/7,?,7250  002,1/2/7,True,False,11374
green-100G,,MNCR,7250  002,1/1/7,?,7250  002,1/1/7,True,False,11375
green-100G,,MNCR,7250  002,1/2/7,?,7250  002,1/2/7,True,False,11376
green-100G,,REST,7250  002,1/1/7,?,7250  002,1/1/7,True,False,11377
green-100G,,REST,7250  002,1/2/7,?,7250  002,1/2/7,True,False,11378
